job_board,post_url,company,industry,company_location,job_title,listed_skill,seniority_level,job_type,years_experience,skill_number,discrete_skill
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short1,programming
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short2,programming skills
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short3,python
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short4,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short5,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short6,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,programming skills in python,,,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,detail oriented can identify and fix own bugs and write code that runs efficiently,,,,skill_short1,detail oriented
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,detail oriented can identify and fix own bugs and write code that runs efficiently,,,,skill_short2,write code
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,detail oriented can identify and fix own bugs and write code that runs efficiently,,,,skill_short3,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,detail oriented can identify and fix own bugs and write code that runs efficiently,,,,skill_short4,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,detail oriented can identify and fix own bugs and write code that runs efficiently,,,,skill_short5,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,detail oriented can identify and fix own bugs and write code that runs efficiently,,,,skill_short6,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,detail oriented can identify and fix own bugs and write code that runs efficiently,,,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,detail oriented can identify and fix own bugs and write code that runs efficiently,,,,skill_short1,detail oriented
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,detail oriented can identify and fix own bugs and write code that runs efficiently,,,,skill_short2,write code
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,detail oriented can identify and fix own bugs and write code that runs efficiently,,,,skill_short3,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,detail oriented can identify and fix own bugs and write code that runs efficiently,,,,skill_short4,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,detail oriented can identify and fix own bugs and write code that runs efficiently,,,,skill_short5,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,detail oriented can identify and fix own bugs and write code that runs efficiently,,,,skill_short6,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,detail oriented can identify and fix own bugs and write code that runs efficiently,,,,skill_short7,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience with applying big data technologies e g mapreduce hadoop spark to large quantities of data,,,,skill_short1,applying big data
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience with applying big data technologies e g mapreduce hadoop spark to large quantities of data,,,,skill_short2,big data
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience with applying big data technologies e g mapreduce hadoop spark to large quantities of data,,,,skill_short3,hadoop
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience with applying big data technologies e g mapreduce hadoop spark to large quantities of data,,,,skill_short4,spark
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience with applying big data technologies e g mapreduce hadoop spark to large quantities of data,,,,skill_short5,NA
LinkedIn,https://www.linkedin.com/jobs/view/3516925104,Apple,Computers and Electronics Manufacturing,"Cupertino, CA ",Data Scientist,good experience with applying big data technologies e g mapreduce hadoop spark to large quantities of data,,,,skill_short6,NA
